,Stationscode,Datum,Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³,Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³,Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³,Luftqualitätsindex
155,DENW059,'07.11.2020 12:00',11,23,14,sehr gut
156,DENW059,'07.11.2020 13:00',11,26,13,sehr gut
157,DENW059,'07.11.2020 14:00',11,27,15,sehr gut
158,DENW059,'07.11.2020 15:00',11,28,17,sehr gut
159,DENW059,'07.11.2020 16:00',12,25,21,gut
160,DENW059,'07.11.2020 17:00',12,18,-,sehr gut
161,DENW059,'07.11.2020 18:00',11,12,35,gut
162,DENW059,'07.11.2020 19:00',11,13,32,gut
163,DENW059,'07.11.2020 20:00',11,10,35,gut
164,DENW059,'07.11.2020 21:00',11,6,39,gut
165,DENW059,'07.11.2020 22:00',11,10,36,gut
166,DENW059,'07.11.2020 23:00',12,7,39,gut
167,DENW059,'07.11.2020 24:00',12,-,34,gut
168,DENW059,'08.11.2020 01:00',12,7,30,gut
169,DENW059,'08.11.2020 02:00',13,7,27,gut
170,DENW059,'08.11.2020 03:00',13,7,25,gut
171,DENW059,'08.11.2020 04:00',14,7,26,gut
172,DENW059,'08.11.2020 05:00',14,4,27,gut
173,DENW059,'08.11.2020 06:00',14,3,29,gut
174,DENW059,'08.11.2020 07:00',15,2,28,gut
175,DENW059,'08.11.2020 08:00',15,2,28,gut
176,DENW059,'08.11.2020 09:00',15,5,25,gut
177,DENW059,'08.11.2020 10:00',15,9,21,gut
178,DENW059,'08.11.2020 11:00',15,14,17,sehr gut
179,DENW059,'08.11.2020 12:00',15,13,19,sehr gut
180,DENW059,'08.11.2020 13:00',15,12,20,sehr gut
181,DENW059,'08.11.2020 14:00',15,12,21,gut
182,DENW059,'08.11.2020 15:00',16,10,24,gut
183,DENW059,'08.11.2020 16:00',16,7,27,gut
184,DENW059,'08.11.2020 17:00',16,3,30,gut
185,DENW059,'08.11.2020 18:00',17,1,-,sehr gut
186,DENW059,'08.11.2020 19:00',18,0.8,27,gut
187,DENW059,'08.11.2020 20:00',18,0.8,31,gut
188,DENW059,'08.11.2020 21:00',18,1,35,gut
189,DENW059,'08.11.2020 22:00',18,0.9,33,gut
190,DENW059,'08.11.2020 23:00',18,0.5,29,gut
191,DENW059,'08.11.2020 24:00',19,0.4,29,gut
192,DENW059,'09.11.2020 01:00',19,-,25,gut
193,DENW059,'09.11.2020 02:00',18,0.8,25,gut
194,DENW059,'09.11.2020 03:00',19,0.4,24,gut
195,DENW059,'09.11.2020 04:00',19,0.6,16,sehr gut
196,DENW059,'09.11.2020 05:00',19,0.8,21,gut
197,DENW059,'09.11.2020 06:00',18,0.6,27,gut
198,DENW059,'09.11.2020 07:00',19,0.8,25,gut
199,DENW059,'09.11.2020 08:00',19,0.9,26,gut
200,DENW059,'09.11.2020 09:00',19,1,28,gut
201,DENW059,'09.11.2020 10:00',19,3,27,gut
202,DENW059,'09.11.2020 11:00',19,9,23,gut
203,DENW059,'09.11.2020 12:00',20,10,24,gut
204,DENW059,'09.11.2020 13:00',20,11,24,gut
205,DENW059,'09.11.2020 14:00',20,20,22,gut
206,DENW059,'09.11.2020 15:00',20,24,24,gut
207,DENW059,'09.11.2020 16:00',20,13,30,gut
208,DENW059,'09.11.2020 17:00',20,2,30,gut
209,DENW059,'09.11.2020 18:00',21,0.8,33,gut
210,DENW059,'09.11.2020 19:00',21,1,-,gut
211,DENW059,'09.11.2020 20:00',21,1,37,gut
212,DENW059,'09.11.2020 21:00',21,1,38,gut
213,DENW059,'09.11.2020 22:00',21,1,39,gut
214,DENW059,'09.11.2020 23:00',21,1,37,gut
215,DENW059,'09.11.2020 24:00',21,1,33,gut
216,DENW059,'10.11.2020 01:00',21,1,31,gut
217,DENW059,'10.11.2020 02:00',21,-,31,gut
218,DENW059,'10.11.2020 03:00',22,0,32,gut
219,DENW059,'10.11.2020 04:00',22,0.1,32,gut
220,DENW059,'10.11.2020 05:00',22,0,33,gut
221,DENW059,'10.11.2020 06:00',22,-,31,gut
222,DENW059,'10.11.2020 07:00',22,0,32,gut
223,DENW059,'10.11.2020 08:00',22,0.1,30,gut
224,DENW059,'10.11.2020 09:00',22,1,29,gut
225,DENW059,'10.11.2020 10:00',22,-,-,gut
226,DENW059,'10.11.2020 11:00',22,-,-,gut
227,DENW059,'10.11.2020 12:00',22,-,-,gut
228,DENW059,'10.11.2020 13:00',22,11,-,gut
229,DENW059,'10.11.2020 14:00',22,12,27,gut
230,DENW059,'10.11.2020 15:00',22,13,29,gut
231,DENW059,'10.11.2020 16:00',23,6,33,gut
232,DENW059,'10.11.2020 17:00',23,2,36,gut
233,DENW059,'10.11.2020 18:00',22,1,38,gut
234,DENW059,'10.11.2020 19:00',22,0.3,35,gut
235,DENW059,'10.11.2020 20:00',22,0.5,33,gut
236,DENW059,'10.11.2020 21:00',22,0.6,28,gut
237,DENW059,'10.11.2020 22:00',22,0.4,26,gut
238,DENW059,'10.11.2020 23:00',22,0.3,25,gut
239,DENW059,'10.11.2020 24:00',22,0.3,23,gut
240,DENW059,'11.11.2020 01:00',21,0.2,23,gut
241,DENW059,'11.11.2020 02:00',21,0.1,22,gut
242,DENW059,'11.11.2020 03:00',21,0,21,gut
243,DENW059,'11.11.2020 04:00',20,-,21,gut
244,DENW059,'11.11.2020 05:00',21,-,20,gut
245,DENW059,'11.11.2020 06:00',21,-,20,gut
246,DENW059,'11.11.2020 07:00',21,-,20,gut
247,DENW059,'11.11.2020 08:00',20,-,20,sehr gut
248,DENW059,'11.11.2020 09:00',20,0.2,20,sehr gut
249,DENW059,'11.11.2020 10:00',20,1,19,sehr gut
250,DENW059,'11.11.2020 11:00',19,2,18,sehr gut
251,DENW059,'11.11.2020 12:00',19,2,19,sehr gut
252,DENW059,'11.11.2020 13:00',19,2,20,sehr gut
253,DENW059,'11.11.2020 14:00',19,4,-,sehr gut
254,DENW059,'11.11.2020 15:00',19,8,18,sehr gut
255,DENW059,'11.11.2020 16:00',18,7,23,gut
256,DENW059,'11.11.2020 17:00',18,2,29,gut
257,DENW059,'11.11.2020 18:00',17,0.7,33,gut
258,DENW059,'11.11.2020 19:00',17,0.2,31,gut
259,DENW059,'11.11.2020 20:00',17,0.9,33,gut
260,DENW059,'11.11.2020 21:00',16,0.4,33,gut
261,DENW059,'11.11.2020 22:00',16,0.3,34,gut
262,DENW059,'11.11.2020 23:00',16,-,29,gut
263,DENW059,'11.11.2020 24:00',15,8,35,gut
264,DENW059,'12.11.2020 01:00',15,19,22,gut
265,DENW059,'12.11.2020 02:00',15,23,17,sehr gut
266,DENW059,'12.11.2020 03:00',14,27,15,sehr gut
267,DENW059,'12.11.2020 04:00',14,26,15,sehr gut
268,DENW059,'12.11.2020 05:00',13,25,14,sehr gut
269,DENW059,'12.11.2020 06:00',12,22,15,sehr gut
270,DENW059,'12.11.2020 07:00',12,20,16,sehr gut
271,DENW059,'12.11.2020 08:00',12,17,18,sehr gut
272,DENW059,'12.11.2020 09:00',11,11,22,gut
273,DENW059,'12.11.2020 10:00',11,11,20,sehr gut
274,DENW059,'12.11.2020 11:00',11,10,23,gut
275,DENW059,'12.11.2020 12:00',11,20,21,gut
276,DENW059,'12.11.2020 13:00',11,47,16,sehr gut
277,DENW059,'12.11.2020 14:00',10,55,13,sehr gut
278,DENW059,'12.11.2020 15:00',10,56,-,sehr gut
279,DENW059,'12.11.2020 16:00',10,39,31,gut
280,DENW059,'12.11.2020 17:00',11,27,39,gut
281,DENW059,'12.11.2020 18:00',11,18,39,gut
282,DENW059,'12.11.2020 19:00',11,25,29,gut
283,DENW059,'12.11.2020 20:00',10,19,36,gut
284,DENW059,'12.11.2020 21:00',11,12,40,gut
285,DENW059,'12.11.2020 22:00',11,2,41,mäßig
286,DENW059,'12.11.2020 23:00',11,20,21,gut
287,DENW059,'12.11.2020 24:00',11,-,24,gut
288,DENW059,'13.11.2020 01:00',11,12,26,gut
289,DENW059,'13.11.2020 02:00',11,11,30,gut
290,DENW059,'13.11.2020 03:00',12,14,28,gut
291,DENW059,'13.11.2020 04:00',12,14,24,gut
292,DENW059,'13.11.2020 05:00',12,14,23,gut
293,DENW059,'13.11.2020 06:00',12,8,28,gut
294,DENW059,'13.11.2020 07:00',13,7,30,gut
295,DENW059,'13.11.2020 08:00',13,3,36,gut
296,DENW059,'13.11.2020 09:00',13,6,34,gut
297,DENW059,'13.11.2020 10:00',13,12,30,gut
298,DENW059,'13.11.2020 11:00',13,19,23,gut
299,DENW059,'13.11.2020 12:00',13,28,17,sehr gut
300,DENW059,'13.11.2020 13:00',13,29,17,sehr gut
301,DENW059,'13.11.2020 14:00',13,24,21,gut
302,DENW059,'13.11.2020 15:00',13,22,24,gut
303,DENW059,'13.11.2020 16:00',13,13,-,sehr gut
304,DENW059,'13.11.2020 17:00',13,28,19,sehr gut
305,DENW059,'13.11.2020 18:00',12,29,17,sehr gut
306,DENW059,'13.11.2020 19:00',12,25,21,gut
307,DENW059,'13.11.2020 20:00',11,21,22,gut
308,DENW059,'13.11.2020 21:00',11,10,31,gut
309,DENW059,'13.11.2020 22:00',11,15,26,gut
310,DENW059,'13.11.2020 23:00',11,17,22,gut
311,DENW059,'13.11.2020 24:00',11,29,8,sehr gut
312,DENW059,'14.11.2020 01:00',11,-,4,sehr gut
313,DENW059,'14.11.2020 02:00',10,32,4,sehr gut
314,DENW059,'14.11.2020 03:00',10,29,8,sehr gut
315,DENW059,'14.11.2020 04:00',10,19,17,sehr gut
316,DENW059,'14.11.2020 05:00',10,24,14,sehr gut
317,DENW059,'14.11.2020 06:00',10,22,19,sehr gut
318,DENW059,'14.11.2020 07:00',10,21,22,gut
319,DENW059,'14.11.2020 08:00',10,20,22,gut
320,DENW059,'14.11.2020 09:00',10,20,19,sehr gut
321,DENW059,'14.11.2020 10:00',10,20,16,sehr gut
322,DENW059,'14.11.2020 11:00',10,22,14,sehr gut
323,DENW059,'14.11.2020 12:00',10,25,16,sehr gut
324,DENW059,'14.11.2020 13:00',10,30,14,sehr gut
325,DENW059,'14.11.2020 14:00',10,39,13,sehr gut
326,DENW059,'14.11.2020 15:00',10,53,8,sehr gut
327,DENW059,'14.11.2020 16:00',10,49,13,sehr gut
328,DENW059,'14.11.2020 17:00',10,46,-,sehr gut
329,DENW059,'14.11.2020 18:00',10,38,20,sehr gut
330,DENW059,'14.11.2020 19:00',11,33,25,gut
331,DENW059,'14.11.2020 20:00',11,22,33,gut
332,DENW059,'14.11.2020 21:00',11,23,27,gut
333,DENW059,'14.11.2020 22:00',11,31,20,sehr gut
334,DENW059,'14.11.2020 23:00',12,35,18,sehr gut
335,DENW059,'14.11.2020 24:00',12,37,15,sehr gut
336,DENW059,'15.11.2020 01:00',12,43,11,sehr gut
337,DENW059,'15.11.2020 02:00',12,-,9,sehr gut
338,DENW059,'15.11.2020 03:00',12,34,14,sehr gut
339,DENW059,'15.11.2020 04:00',12,39,10,sehr gut
340,DENW059,'15.11.2020 05:00',12,40,9,sehr gut
341,DENW059,'15.11.2020 06:00',12,39,11,sehr gut
342,DENW059,'15.11.2020 07:00',12,47,9,sehr gut
343,DENW059,'15.11.2020 08:00',12,48,8,sehr gut
344,DENW059,'15.11.2020 09:00',12,40,11,sehr gut
345,DENW059,'15.11.2020 10:00',12,43,9,sehr gut
346,DENW059,'15.11.2020 11:00',12,44,8,sehr gut
347,DENW059,'15.11.2020 12:00',12,46,8,sehr gut
348,DENW059,'15.11.2020 13:00',12,50,6,sehr gut
349,DENW059,'15.11.2020 14:00',12,53,6,sehr gut
350,DENW059,'15.11.2020 15:00',12,54,7,sehr gut
351,DENW059,'15.11.2020 16:00',12,58,8,sehr gut
352,DENW059,'15.11.2020 17:00',12,61,8,gut
353,DENW059,'15.11.2020 18:00',12,63,-,gut
354,DENW059,'15.11.2020 19:00',11,62,5,gut
355,DENW059,'15.11.2020 20:00',11,56,9,sehr gut
356,DENW059,'15.11.2020 21:00',11,64,6,gut
357,DENW059,'15.11.2020 22:00',10,46,6,sehr gut
358,DENW059,'15.11.2020 23:00',10,33,12,sehr gut
359,DENW059,'15.11.2020 24:00',9,39,7,sehr gut
360,DENW059,'16.11.2020 01:00',9,45,11,sehr gut
361,DENW059,'16.11.2020 02:00',9,50,8,sehr gut
362,DENW059,'16.11.2020 03:00',9,-,11,sehr gut
363,DENW059,'16.11.2020 04:00',9,50,7,sehr gut
364,DENW059,'16.11.2020 05:00',9,58,1,sehr gut
365,DENW059,'16.11.2020 06:00',9,55,4,sehr gut
366,DENW059,'16.11.2020 07:00',9,46,12,sehr gut
367,DENW059,'16.11.2020 08:00',8,42,17,sehr gut
368,DENW059,'16.11.2020 09:00',8,40,15,sehr gut
369,DENW059,'16.11.2020 10:00',8,46,10,sehr gut
370,DENW059,'16.11.2020 11:00',8,52,12,sehr gut
371,DENW059,'16.11.2020 12:00',8,54,10,sehr gut
372,DENW059,'16.11.2020 13:00',8,45,10,sehr gut
373,DENW059,'16.11.2020 14:00',8,35,26,gut
374,DENW059,'16.11.2020 15:00',8,34,30,gut
375,DENW059,'16.11.2020 16:00',8,30,33,gut
376,DENW059,'16.11.2020 17:00',8,33,25,gut
377,DENW059,'16.11.2020 18:00',7,33,24,gut
378,DENW059,'16.11.2020 19:00',7,41,-,sehr gut
379,DENW059,'16.11.2020 20:00',7,33,22,gut
380,DENW059,'16.11.2020 21:00',7,43,8,sehr gut
381,DENW059,'16.11.2020 22:00',8,37,9,sehr gut
382,DENW059,'16.11.2020 23:00',8,30,12,sehr gut
383,DENW059,'16.11.2020 24:00',8,23,15,sehr gut
384,DENW059,'17.11.2020 01:00',8,19,12,sehr gut
385,DENW059,'17.11.2020 02:00',8,14,14,sehr gut
386,DENW059,'17.11.2020 03:00',8,27,5,sehr gut
387,DENW059,'17.11.2020 04:00',8,-,3,sehr gut
388,DENW059,'17.11.2020 05:00',8,45,9,sehr gut
389,DENW059,'17.11.2020 06:00',8,41,14,sehr gut
390,DENW059,'17.11.2020 07:00',8,41,14,sehr gut
391,DENW059,'17.11.2020 08:00',8,42,14,sehr gut
392,DENW059,'17.11.2020 09:00',8,44,13,sehr gut
393,DENW059,'17.11.2020 10:00',8,45,11,sehr gut
394,DENW059,'17.11.2020 11:00',8,45,12,sehr gut
395,DENW059,'17.11.2020 12:00',8,48,10,sehr gut
396,DENW059,'17.11.2020 13:00',8,53,7,sehr gut
397,DENW059,'17.11.2020 14:00',8,50,9,sehr gut
398,DENW059,'17.11.2020 15:00',8,27,31,gut
399,DENW059,'17.11.2020 16:00',8,26,36,gut
400,DENW059,'17.11.2020 17:00',8,42,18,sehr gut
401,DENW059,'17.11.2020 18:00',9,46,11,sehr gut
402,DENW059,'17.11.2020 19:00',9,44,11,sehr gut
403,DENW059,'17.11.2020 20:00',9,42,-,sehr gut
404,DENW059,'17.11.2020 21:00',9,37,15,sehr gut
405,DENW059,'17.11.2020 22:00',9,34,17,sehr gut
406,DENW059,'17.11.2020 23:00',9,35,15,sehr gut
407,DENW059,'17.11.2020 24:00',9,34,18,sehr gut
408,DENW059,'18.11.2020 01:00',9,42,11,sehr gut
409,DENW059,'18.11.2020 02:00',9,42,13,sehr gut
410,DENW059,'18.11.2020 03:00',9,40,12,sehr gut
411,DENW059,'18.11.2020 04:00',9,49,4,sehr gut
412,DENW059,'18.11.2020 05:00',9,-,4,sehr gut
413,DENW059,'18.11.2020 06:00',8,45,8,sehr gut
414,DENW059,'18.11.2020 07:00',8,45,14,sehr gut
415,DENW059,'18.11.2020 08:00',9,36,22,gut
416,DENW059,'18.11.2020 09:00',8,31,26,gut
417,DENW059,'18.11.2020 10:00',9,38,20,sehr gut
418,DENW059,'18.11.2020 11:00',9,46,13,sehr gut
419,DENW059,'18.11.2020 12:00',9,48,12,sehr gut
420,DENW059,'18.11.2020 13:00',9,49,11,sehr gut
421,DENW059,'18.11.2020 14:00',9,51,10,sehr gut
422,DENW059,'18.11.2020 15:00',9,46,16,sehr gut
423,DENW059,'18.11.2020 16:00',9,43,17,sehr gut
424,DENW059,'18.11.2020 17:00',9,38,21,gut
425,DENW059,'18.11.2020 18:00',9,31,26,gut
426,DENW059,'18.11.2020 19:00',10,26,32,gut
427,DENW059,'18.11.2020 20:00',10,29,27,gut
428,DENW059,'18.11.2020 21:00',10,26,-,sehr gut
429,DENW059,'18.11.2020 22:00',10,23,26,gut
430,DENW059,'18.11.2020 23:00',10,23,22,gut
431,DENW059,'18.11.2020 24:00',10,30,14,sehr gut
432,DENW059,'19.11.2020 01:00',10,36,11,sehr gut
433,DENW059,'19.11.2020 02:00',9,38,10,sehr gut
434,DENW059,'19.11.2020 03:00',9,38,7,sehr gut
435,DENW059,'19.11.2020 04:00',9,41,5,sehr gut
436,DENW059,'19.11.2020 05:00',9,66,6,gut
437,DENW059,'19.11.2020 06:00',9,-,12,sehr gut
438,DENW059,'19.11.2020 07:00',9,49,28,gut
439,DENW059,'19.11.2020 08:00',9,35,41,mäßig
440,DENW059,'19.11.2020 09:00',10,23,48,mäßig
441,DENW059,'19.11.2020 10:00',10,36,37,gut
442,DENW059,'19.11.2020 11:00',10,44,27,gut
443,DENW059,'19.11.2020 12:00',10,39,31,gut
444,DENW059,'19.11.2020 13:00',10,51,19,sehr gut
445,DENW059,'19.11.2020 14:00',11,45,23,gut
446,DENW059,'19.11.2020 15:00',11,37,28,gut
447,DENW059,'19.11.2020 16:00',10,39,26,gut
448,DENW059,'19.11.2020 17:00',10,30,32,gut
449,DENW059,'19.11.2020 18:00',10,30,31,gut
450,DENW059,'19.11.2020 19:00',10,45,22,gut
451,DENW059,'19.11.2020 20:00',10,33,28,gut
452,DENW059,'19.11.2020 21:00',10,4,44,mäßig
453,DENW059,'19.11.2020 22:00',10,1,-,sehr gut
454,DENW059,'19.11.2020 23:00',10,2,37,gut
455,DENW059,'19.11.2020 24:00',10,8,31,gut
456,DENW059,'20.11.2020 01:00',10,5,27,gut
457,DENW059,'20.11.2020 02:00',10,12,21,gut
458,DENW059,'20.11.2020 03:00',10,12,21,gut
459,DENW059,'20.11.2020 04:00',11,11,16,sehr gut
460,DENW059,'20.11.2020 05:00',11,11,19,sehr gut
